data_type,id,name,address,lat,lng,cctv_purpose,cctv_count,cctv_pixel,install_ym,lamp_id,police_type,crime_year,crime_kill,crime_rob,crime_theft,crime_violence,lamp_type,dong_code,dong_name,sgg_code,is_gwanak
cctv,202632000000800108,서울특별시 관악구청,"서울특별시 관악구 산불감시(서울대,대학동)",37.46242,126.956,기타,1.0,200.0,,,,,,,,,,1162058500,낙성대동,11620,True
cctv,202632000000800109,서울특별시 관악구청,서울특별시 관악구 장군봉소공원 (쑥고개로3길 7),37.47815,126.9389,기타,1.0,200.0,,,,,,,,,,1162064500,서원동,11620,True
cctv,202632000000800110,서울특별시 관악구청,서울특별시 관악구 상도근린공원#1(성현동 1712-6),37.49119,126.9535,기타,1.0,200.0,,,,,,,,,,1159053000,상도1동,11590,False
cctv,202632000000800111,서울특별시 관악구청,서울특별시 관악구 당곡어린이공원 (봉천로19길 31),37.48869,126.9335,기타,2.0,200.0,,,,,,,,,,1162052500,보라매동,11620,True
cctv,202632000000800112,서울특별시 관악구청,서울특별시 관악구 고시자연공원(대학동 255-258),37.46414,126.9353,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800113,서울특별시 관악구청,서울특별시 관악구 대협어린이공원 (문성로16길 26),37.47479,126.9133,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800114,서울특별시 관악구청,서울특별시 관악구 영락어린이공원 (청룡동 1555-16),37.47678,126.9438,기타,1.0,200.0,,,,,,,,,,1162059500,청룡동,11620,True
cctv,202632000000800115,서울특별시 관악구청,서울특별시 관악구 인헌어린이공원 (낙성대역3길 28-11),37.47545,126.9625,기타,1.0,200.0,,,,,,,,,,1162062500,인헌동,11620,True
cctv,202632000000800116,서울특별시 관악구청,서울특별시 관악구 관악산둘레길광신고후문(난곡동 산87-14),37.46575,126.9238,기타,3.0,200.0,,,,,,,,,,1162074500,삼성동,11620,True
cctv,202632000000800117,서울특별시 관악구청,서울특별시 관악구 선우공원#03(미성동 산117-13),37.46968,126.9125,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800118,서울특별시 관악구청,서울특별시 관악구 나들목공원 (신림로3가길 2),37.4694,126.9447,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800119,서울특별시 관악구청,서울특별시 관악구 나들목공원 (신림로3가길 2),37.46896,126.9442,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800120,서울특별시 관악구청,서울특별시 관악구 동네뒷산공원(대학동 산24-9),37.46797,126.9399,기타,3.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800121,서울특별시 관악구청,서울특별시 관악구 동네뒷산공원(대학동 산24-9),37.46786,126.9403,기타,1.0,200.0,,,,,,,,,,1162073500,대학동,11620,True
cctv,202632000000800122,서울특별시 관악구청,서울특별시 관악구 문성어린이공원#1 (문성로 120-5),37.47775,126.9168,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800123,서울특별시 관악구청,서울특별시 관악구 문성어린이공원#2 (난우12길 35-2),37.47768,126.9188,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800124,서울특별시 관악구청,서울특별시 관악구 문성어린이공원#3 (난우10가길 42),37.47772,126.9197,기타,1.0,200.0,,,,,,,,,,1162076500,미성동,11620,True
cctv,202632000000800125,서울특별시 관악구청,서울특별시 관악구 문성어린이소공원 (조원동 1661-15),37.4819,126.9028,기타,1.0,200.0,,,,,,,,,,1162072500,조원동,11620,True
cctv,202632000000800126,서울특별시 관악구청,서울특별시 관악구 장미어린이공원 (행운동 148-103),37.47922,126.9623,기타,3.0,200.0,,,,,,,,,,1162057500,행운동,11620,True
